iter	Passed	Remaining
0	1	1311
1	2	1250
2	3	1230
3	4	1207
4	5	1193
5	7	1202
6	8	1202
7	9	1203
8	11	1279
9	13	1311
10	14	1330
11	16	1340
12	17	1326
13	18	1315
14	19	1303
15	21	1293
16	22	1282
17	23	1274
18	24	1266
19	25	1271
20	27	1272
21	28	1268
22	29	1262
23	30	1256
24	32	1249
25	33	1242
26	34	1236
27	35	1229
28	36	1223
29	37	1218
30	38	1212
31	39	1207
32	41	1208
33	41	1188
34	43	1187
35	44	1187
36	45	1186
37	46	1180
38	47	1175
39	48	1174
40	50	1171
41	51	1167
42	52	1162
43	53	1158
44	54	1156
45	55	1154
46	56	1154
47	58	1155
48	59	1154
49	60	1154
50	61	1152
51	63	1150
52	64	1147
53	65	1145
54	66	1142
55	67	1139
56	68	1137
57	69	1134
58	71	1132
59	72	1131
60	73	1133
61	75	1135
62	76	1136
63	77	1136
64	79	1137
65	80	1136
66	81	1135
67	82	1134
68	84	1133
69	85	1132
70	86	1131
71	87	1130
72	89	1132
73	90	1133
74	91	1133
75	93	1134
76	94	1134
77	96	1135
78	97	1135
79	98	1135
80	100	1134
81	101	1134
82	102	1133
83	103	1133
84	105	1133
85	106	1134
86	108	1134
87	109	1135
88	110	1135
89	112	1135
90	113	1134
91	114	1133
92	116	1132
93	117	1131
94	118	1131
95	120	1130
96	121	1131
97	122	1132
98	124	1132
99	125	1131
100	127	1131
101	128	1130
102	129	1129
103	131	1129
104	132	1129
105	133	1128
106	135	1127
107	136	1127
108	137	1126
109	139	1125
110	140	1125
111	141	1124
112	143	1123
113	144	1122
114	145	1121
115	146	1119
116	148	1118
117	149	1117
118	150	1115
119	152	1115
120	153	1114
121	155	1115
122	156	1115
123	157	1114
124	159	1114
125	160	1112
126	161	1110
127	162	1108
128	163	1106
129	165	1104
130	166	1102
131	167	1101
132	168	1101
133	170	1100
134	171	1098
135	172	1097
136	173	1095
137	175	1093
138	176	1091
139	177	1089
140	178	1087
141	179	1085
142	180	1083
143	181	1081
144	183	1080
145	184	1079
146	185	1078
147	187	1078
148	188	1076
149	189	1074
150	190	1072
151	191	1070
152	193	1068
153	194	1067
154	195	1065
155	196	1063
156	197	1061
157	199	1061
158	200	1060
159	201	1059
160	203	1058
161	204	1057
162	205	1055
163	206	1054
164	207	1052
165	208	1049
166	210	1047
167	211	1046
168	212	1044
169	213	1042
170	214	1040
171	216	1039
172	217	1039
173	218	1039
174	220	1038
175	221	1036
176	222	1035
177	223	1033
178	224	1031
179	226	1030
180	227	1028
181	228	1026
182	229	1025
183	230	1023
184	232	1022
185	233	1021
186	235	1021
187	236	1021
188	237	1020
189	239	1020
190	240	1020
191	242	1020
192	243	1019
193	245	1018
194	246	1018
195	248	1017
196	249	1017
197	251	1016
198	252	1016
199	254	1016
200	255	1015
201	257	1015
202	258	1015
203	260	1015
204	261	1015
205	263	1016
206	265	1016
207	266	1016
208	268	1016
209	270	1016
210	271	1014
211	272	1013
212	273	1012
213	275	1010
214	276	1008
215	277	1007
216	279	1007
217	280	1006
218	281	1005
219	283	1003
220	284	1002
221	285	1001
222	286	999
223	288	998
224	289	996
225	290	994
226	291	992
227	292	990
228	293	989
229	295	988
230	296	987
231	298	986
232	299	986
233	300	984
234	302	983
235	303	982
236	304	981
237	306	980
238	307	978
239	308	976
240	310	976
241	311	975
242	312	974
243	314	973
244	315	971
245	316	970
246	317	969
247	319	967
248	320	966
249	321	965
250	322	963
251	323	961
252	325	960
253	326	958
254	327	957
255	328	955
256	330	954
257	331	952
258	332	951
259	333	949
260	334	948
261	335	946
262	337	944
263	338	943
264	339	941
265	340	940
266	342	940
267	343	939
268	345	938
269	346	936
270	347	935
271	349	934
272	350	933
273	351	931
274	352	930
275	354	929
276	355	927
277	356	926
278	358	925
279	359	924
280	360	923
281	362	922
282	363	920
283	364	919
284	365	918
285	367	916
286	368	915
287	369	913
288	370	912
289	372	911
290	373	910
291	375	910
292	376	909
293	378	907
294	379	906
295	380	904
296	381	903
297	382	901
298	383	899
299	384	898
300	385	896
301	387	894
302	388	894
303	390	893
304	391	892
305	392	891
306	394	889
307	395	888
308	396	887
309	398	886
310	399	884
311	400	883
312	401	882
313	402	880
314	404	879
315	405	878
316	407	877
317	408	876
318	410	875
319	411	874
320	412	873
321	414	871
322	415	870
323	416	868
324	417	867
325	418	865
326	420	864
327	421	863
328	423	862
329	424	861
330	425	860
331	427	859
332	428	858
333	430	857
334	431	856
335	432	855
336	434	854
337	435	853
338	437	852
339	438	851
340	439	849
341	440	848
342	442	847
343	443	845
344	444	844
345	445	843
346	447	841
347	448	839
348	449	838
349	450	837
350	452	836
351	453	835
352	454	833
353	456	832
354	457	831
355	458	829
356	459	828
357	460	826
358	462	825
359	463	823
360	464	821
361	465	820
362	466	819
363	468	818
364	469	817
365	471	816
366	472	814
367	473	813
368	474	812
369	476	810
370	477	809
371	478	807
372	479	806
373	480	804
374	482	804
375	483	803
376	485	801
377	486	800
378	487	799
379	488	797
380	490	796
381	491	795
382	492	793
383	493	792
384	495	791
385	496	789
386	498	789
387	499	788
388	501	787
389	502	786
390	504	785
391	505	784
392	507	783
393	508	782
394	509	780
395	511	779
396	512	778
397	513	777
398	515	776
399	517	775
400	518	774
401	520	774
402	522	773
403	523	772
404	524	771
405	526	770
406	528	769
407	529	768
408	531	768
409	533	767
410	535	766
411	536	766
412	538	764
413	539	764
414	541	762
415	542	761
416	543	760
417	545	759
418	547	759
419	549	758
420	551	758
421	552	757
422	554	756
423	555	755
424	557	754
425	559	753
426	560	752
427	562	751
428	564	751
429	566	750
430	567	749
431	569	748
432	570	747
433	572	746
434	573	745
435	575	743
436	576	743
437	578	742
438	580	741
439	582	740
440	583	739
441	584	738
442	586	737
443	587	735
444	588	734
445	590	732
446	591	731
447	592	730
448	593	728
449	595	727
450	596	726
451	598	725
452	599	723
453	600	722
454	601	720
455	603	719
456	604	718
457	605	716
458	606	715
459	608	713
460	609	712
461	610	711
462	612	710
463	613	709
464	615	707
465	616	706
466	617	705
467	618	703
468	620	702
469	621	701
470	622	699
471	624	698
472	625	696
473	627	695
474	628	694
475	629	693
476	630	691
477	632	690
478	633	689
479	634	687
480	636	686
481	637	685
482	638	683
483	640	682
484	641	681
485	643	680
486	644	679
487	646	677
488	647	676
489	648	674
490	649	673
491	651	672
492	652	670
493	653	669
494	654	667
495	655	666
496	657	665
497	659	664
498	660	663
499	661	661
500	662	660
501	664	659
502	665	657
503	666	656
504	668	654
505	669	653
506	670	651
507	672	650
508	673	649
509	674	648
510	676	647
511	677	645
512	679	644
513	680	643
514	681	641
515	683	640
516	684	639
517	685	637
518	686	636
519	688	635
520	689	634
521	691	632
522	692	631
523	693	630
524	695	629
525	696	627
526	697	626
527	699	624
528	700	623
529	701	622
530	703	620
531	704	619
532	705	618
533	706	616
534	708	615
535	709	614
536	710	612
537	711	611
538	712	609
539	714	608
540	715	607
541	716	605
542	718	604
543	719	603
544	721	601
545	722	600
546	723	599
547	724	597
548	726	596
549	727	595
550	728	593
551	730	592
552	731	591
553	732	589
554	734	588
555	735	587
556	736	586
557	738	584
558	739	583
559	740	582
560	742	580
561	743	579
562	744	577
563	745	576
564	746	575
565	748	573
566	749	572
567	750	571
568	752	569
569	753	568
570	754	566
571	755	565
572	757	564
573	758	562
574	759	561
575	760	559
576	761	558
577	762	557
578	764	555
579	765	554
580	766	552
581	768	551
582	769	550
583	770	548
584	771	547
585	772	546
586	774	544
587	775	543
588	776	541
589	777	540
590	778	538
591	779	537
592	781	536
593	782	535
594	784	533
595	785	532
596	786	531
597	788	529
598	789	528
599	790	526
600	791	525
601	792	524
602	793	522
603	794	521
604	796	519
605	797	518
606	798	517
607	800	515
608	801	514
609	802	513
610	803	511
611	804	510
612	805	508
613	807	507
614	808	505
615	809	504
616	810	503
617	811	501
618	813	500
619	814	499
620	815	497
621	816	496
622	818	495
623	819	493
624	820	492
625	821	490
626	822	489
627	823	487
